name,coverage length,retreat length,advance length,total length,number of return,time
scenario1\map_1.txt,965.6568542494924,178.85281374238593,108.12489168102776,1252.6345596729072,6,11.309162616729736
scenario1\map_2.txt,807.8994949366117,114.49747468305826,91.811183182043,1014.208152801714,5,8.921501874923706
scenario1\map_3.txt,787.2426406871193,126.3969696196699,119.88225099390847,1033.521861300699,5,8.082579612731934
scenario1\map_4.txt,687.5563491861042,123.05382386916227,72.18376618407352,882.793939239341,4,6.989507436752319
scenario1\map_5.txt,605.3847763108504,119.88225099390849,94.39696961966993,819.66399692443,4,6.019455194473267

scenario2\map_1.txt,708.5563491861042,91.79898987322332,49.38477631085024,849.740115370178,4,6.67710542678833
scenario2\map_2.txt,771.0538238691629,156.0660171779822,83.59797974644664,1010.7178207935929,5,7.037461042404175
scenario2\map_3.txt,814.3553390593277,141.04163056034258,92.42640687119278,1047.8233764908637,5,8.082746267318726
scenario2\map_4.txt,784.4091629284906,161.6101730552663,73.76955262170043,1019.7888886054584,5,6.5709733963012695

scenario3\map_1.txt,1386.1370849898483,334.8061325481604,281.0365799264597,2001.9797974644696,9,26.444935083389282
scenario3\map_1.txt,1379.178715550191,219.9238815542514,130.08326112068517,1729.1858582251289,8,20.116432905197144
scenario3\map_1.txt,1370.8233764908637,359.3919189857874,248.65180361560937,1978.8670990922615,9,31.370370864868164
scenario3\map_1.txt,1434.906637611549,248.91168824543155,113.87005768508878,1797.68838354207,9,17.115018129348755
scenario3\map_1.txt,1447.220346110534,230.88225099390866,42.89949493661166,1721.0020920410548,8,14.549749374389648
scenario3\map_1.txt,1330.3919189857877,361.0071426749371,110.49747468305827,1801.896536343784,8,26.41229224205017
scenario3\map_1.txt,1546.5462479183388,367.73506473629493,228.9949493661169,2143.2762620207436,10,46.41398501396179

scenario4\map_1.txt,1258.308657865102,727.2152954766512,626.203102167831,2611.72705550956,20,30.02505898475647
scenario4\map_1.txt,1392.2792206135796,319.65180361560937,269.3380951166247,1981.2691193458143,9,28.464991331100464
scenario4\map_1.txt,1395.8650070512065,279.2375900532363,167.1543289325507,1842.2569260369942,6,27.99035358428955
scenario4\map_1.txt,1385.5218613006987,203.1959594928935,92.87005768508878,1681.587878478682,4,27.011544704437256
scenario4\map_1.txt,1393.1787155501913,129.49747468305827,69.79898987322332,1592.4751801064733,3,26.1033353805542

scenario5\map_1.txt,1392.2792206135796,319.65180361560937,269.3380951166247,1981.2691193458143,9,27.757299661636353
scenario5\map_2.txt,1014.5096679918787,313.64675298172654,261.2619766708759,1589.4183976444829,7,17.488223791122437
scenario5\map_3.txt,1127.2964645562822,222.79393923934035,133.74011537017756,1483.8305191658012,7,12.091837644577026
